country,Rank,Happiness Score,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate),"GINI index (World Bank estimate), average 2000-15","gini of household income reported in Gallup, by wp5-year"
North Cyprus,65,5.463,5.463305473,,0.871150076,,0.692567647,,0.854729652,0.709236085,0.405434668,0.414000452,,,2.743689299,0.502203167,,,0.36829868
Greece,66,5.435,5.096354008,10.10087299,0.81214112,70.67931366,0.37261042,-0.310992062,0.958908975,0.580687583,0.351506293,0.12621899,0.241770908,0.271006763,2.490795374,0.488740653,0.363,0.346909091,0.344145775
Estonia,67,5.426,5.363927841,10.15393448,0.889454544,66.41425323,0.696825743,-0.201046899,0.7928527,0.647360325,0.198966742,0.272975951,0.87419492,1.156192064,1.961893439,0.365756869,0.329,0.333,0.381732076
Lithuania,68,5.426,5.771037102,10.08793449,0.918690145,64.88002777,0.503027141,-0.281919926,0.956959248,0.580971003,0.277385563,0.145729542,0.85785979,0.800440192,1.846569896,0.319971919,0.351,0.353090909,0.310113639
Algeria,69,5.422,5.604595661,9.485086441,0.839396894,64.73936462,0.586663485,-0.198870689,0.690116346,0.604023278,0.22971566,,-1.115534902,-0.77117157,1.939236641,0.346008301,,0.276,0.421408624
Jordan,70,5.414,5.131996155,9.101000786,0.829496324,63.78110504,0.693142116,-0.160638839,,0.564724505,0.345336407,,-0.629235148,0.155911192,2.095973015,0.408412814,,0.343,0.324062377
Indonesia,71,5.348,5.36777401,9.132506371,0.833621144,59.83226013,0.770319343,0.340603173,0.96158886,0.896927416,0.228979603,0.672580957,-0.262825072,-0.441785634,1.602591753,0.298557967,,0.395,0.412397981
Turkey,72,5.345,5.309076309,9.917490959,0.739280582,64.68478394,0.470903218,-0.224778861,0.701850236,0.644781053,0.334832817,0.530999661,-0.713732719,0.255665541,1.974840164,0.371974349,0.402,0.403076923,0.330034256
Libya,73,5.34,5.754394054,10.02394676,0.854930937,61.14139557,0.711518884,-0.062263638,0.790556133,0.694884002,0.316149682,,-1.243850827,-1.40801692,2.278058529,0.395881563,,,0.347402185
Bahrain,74,5.312,5.027186871,10.62035942,0.911349595,65.5225296,0.681822896,,0.437915266,0.589015484,0.380814761,,-1.223989844,0.467846751,1.900918961,0.378127784,,,0.330874622
Montenegro,75,5.299,5.218724251,9.551541328,0.704032779,66.01222229,0.46170637,-0.194561794,0.755059719,0.573610485,0.379281342,0.355399817,0.40723449,0.014853257,2.309457302,0.442532927,0.322,0.3093,0.355063587
Pakistan,76,5.292,5.131565094,8.38193512,0.542038024,56.60122681,0.366844118,0.150681734,0.842024505,0.664618492,0.332447738,0.228680417,-1.760292888,-0.860548019,2.179158688,0.424657702,,0.312571429,0.429429472
Nigeria,77,5.248,5.492954254,8.582878113,0.817579567,44.03263855,0.651688874,0.054680578,0.900431395,0.810905516,0.209099487,0.303561688,-1.371146798,-1.006082296,1.732020974,0.315316826,,0.4155,0.48107487
Kosovo,78,5.222,5.639588356,9.034417152,0.757147133,61.22325897,0.635793388,0.019289259,0.94965142,0.595571578,0.099630386,0.31239897,,,2.442061186,0.433021188,,,0.374054551
Honduras,79,5.142,4.602218151,8.327683449,0.779194892,62.92237854,0.700452089,0.003997721,0.871437132,0.846510351,0.293591261,0.26335296,-0.40994665,-0.746310949,2.548845053,0.55382967,0.574,0.5556,0.476664186
Portugal,80,5.101,4.993962288,10.15835667,0.866038621,70.45056152,0.773821414,-0.104271121,0.959288418,0.728934467,0.370169967,0.230625153,0.90190047,0.971928477,2.494402647,0.499483675,0.36,0.367,0.425317735
Ghana,81,5.091,5.057261944,8.197658539,0.68511188,53.58569717,0.679418445,0.047719266,0.897836149,0.75968802,0.152376384,0.576750815,0.281023592,-0.009119377,2.139453173,0.423045754,0.422,0.425,
Ukraine,82,5.057,5.030342102,9.026679039,0.897573471,62.95043945,0.563649774,-0.205425665,0.896237016,0.570337653,0.192819074,0.236936122,-0.185908958,-0.759702504,1.977613568,0.393137008,0.247,0.266,0.355269224
Latvia,83,5.046,5.125025272,9.944042206,0.851195216,64.80504608,0.563811779,-0.044994887,0.894979358,0.560012877,0.232224524,0.191219807,0.614571154,0.721494794,1.890645146,0.368904561,0.352,0.362,0.321798891
Kyrgyzstan,84,5.042,5.207785606,7.962011337,0.856181741,61.88621521,0.702731669,-0.055728517,0.892036796,0.690524042,0.182383269,0.513287067,-0.761174262,-0.815161526,1.584668517,0.304288358,0.274,0.306375,0.326006919
Romania,85,5.033,5.166874886,9.814229965,0.740043104,66.36763763,0.644536138,-0.117041543,0.959486127,0.555993974,0.342614621,0.236376286,0.200435579,0.005359806,2.449491739,0.474076062,0.273,0.290928571,0.42576927
Zambia,86,5.006,5.013374805,8.163204193,0.780022562,50.67415619,0.787760317,-0.002135111,0.806394398,0.725964785,0.250368446,0.594113767,0.264067978,-0.388092458,2.200456381,0.43891719,,0.5274,0.610943914
Philippines,87,4.985,5.001965046,8.697647095,0.812921703,59.65584183,0.914499581,0.047324717,0.771167636,0.86513114,0.35112527,0.758208573,-0.60896349,-0.259734333,2.471630812,0.494131953,0.422,0.418833333,0.522216678
China,88,4.978,5.094917297,9.318813324,0.787818193,68.56943512,0.808255136,-0.202918619,,0.820784926,0.158702999,,-1.08836174,-0.298996091,2.083999872,0.409035087,0.422,0.425,0.557539284
Dominican Republic,89,4.963,4.753311157,9.349291801,0.879158199,62.68739319,0.840129376,-0.065198809,0.727300286,0.796801806,0.297043145,0.43158412,0.188479513,-0.540561914,2.741707325,0.576799452,0.457,0.4886875,0.576213002
South Africa,90,4.963,5.133887768,9.419760704,0.906595111,50.58544159,0.590144992,-0.174449459,0.838216782,0.761366546,0.178183243,0.425877452,0.278383315,0.180559263,2.17634201,0.423916936,,0.6225,0.565795124
Lebanon,91,4.931,4.572566986,9.619617462,0.712611496,68.10767365,0.620627165,-0.007968698,0.855777562,0.499440908,0.338856846,,-1.025322795,-0.52122736,2.328357935,0.509201467,,0.318,0.370209813
Morocco,92,4.885,4.969656467,8.823402405,0.67582494,64.14507294,0.756784618,-0.198701277,0.844934762,0.687131047,0.28133598,0.525867641,-0.53806299,-0.197070941,1.934658766,0.389294267,,0.4065,0.558272898
Somaliland region,93,4.847,5.057314396,,0.786291242,,0.758219004,,0.333831728,0.73518914,0.152428225,0.651241541,,,1.84780252,0.3653723,,,0.533574641
Mongolia,94,4.834,4.885150433,9.188996315,0.9185161,61.13117599,0.688311696,0.09188357,0.932385981,0.689052641,0.181066349,0.310268313,0.268304914,-0.438392848,1.579062223,0.323237181,0.338,0.335833333,0.379856855
Zimbabwe,95,4.827,4.955100536,7.534424305,0.896476209,47.65478897,0.469531179,-0.072877467,0.8586905,0.669278681,0.17731078,0.407083839,-1.12531507,-1.555728316,1.853194833,0.37399742,,0.432,0.487202942
Tunisia,96,4.826,4.463531017,9.249967575,0.614422798,65.147995,0.567737222,-0.191103399,0.899453163,0.520914137,0.326999813,0.435219467,-0.446484566,-0.103036761,2.117940903,0.474498987,,0.381,0.435334772
Iraq,97,4.817,4.659508705,9.590554237,0.730118215,60.08565903,0.314564616,-0.05977096,0.78919065,0.422927648,0.44905889,0.339846313,-1.50511539,-1.258518577,1.971013665,0.423008889,0.295,0.2905,0.337228656
Bosnia and Herzegovina,98,4.813,4.773144722,9.203255653,0.778859854,67.22298431,0.419789314,-0.015265614,0.95342195,0.547962606,0.338240683,0.194952324,-0.319237053,-0.254937112,2.411530972,0.505228937,,0.32725,0.414922833
Serbia,99,4.813,5.154521942,9.464875221,0.819430411,64.85837555,0.460574687,-0.134579897,0.951667845,0.514332354,0.371236444,0.223251179,-0.009177983,-0.212817714,2.459745407,0.477201462,,0.3059,0.354289949
Bangladesh,100,4.804,4.724443913,7.903443813,0.581765294,60.94363022,0.66768229,-0.02715938,0.764894426,0.713508248,0.183245391,0.705811918,-0.890514851,-0.88367945,1.928409934,0.408177137,,0.329,0.427503377
Laos,101,4.787,4.876084805,8.417757988,0.692627907,56.26917648,,0.238068149,,0.916800976,0.386679232,,-0.804916084,-0.882167459,1.696086407,0.347837746,0.364,0.348,0.611756206
